sport,market,game_id,matchup,line_source,side_a,side_b,line_a,line_b,odds_a,odds_b,timestamp
nba,spreads,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,BetMGM,Los Angeles Lakers,Oklahoma City Thunder,15.5,-15.5,-110,-110,2026-05-06T23:34:28Z
nba,totals,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,BetMGM,Over,Under,209.5,209.5,-110,-110,2026-05-06T23:34:28Z
nba,h2h,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,FanDuel,Los Angeles Lakers,Oklahoma City Thunder,,,640,-950,2026-05-06T23:34:16Z
nba,spreads,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,FanDuel,Los Angeles Lakers,Oklahoma City Thunder,15.5,-15.5,-110,-110,2026-05-06T23:34:16Z
nba,totals,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,FanDuel,Over,Under,209.5,209.5,-108,-112,2026-05-06T23:34:16Z
nba,h2h,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,BetRivers,Los Angeles Lakers,Oklahoma City Thunder,,,700,-1250,2026-05-06T23:34:12Z
nba,spreads,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,BetRivers,Los Angeles Lakers,Oklahoma City Thunder,15.5,-15.5,-110,-113,2026-05-06T23:34:12Z
nba,totals,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,BetRivers,Over,Under,210.0,210.0,-109,-113,2026-05-06T23:34:12Z
nba,h2h,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,LowVig.ag,Los Angeles Lakers,Oklahoma City Thunder,,,590,-810,2026-05-06T23:34:29Z
nba,spreads,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,LowVig.ag,Los Angeles Lakers,Oklahoma City Thunder,15.5,-15.5,-106,-106,2026-05-06T23:34:29Z
nba,totals,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,LowVig.ag,Over,Under,210.0,210.0,-107,-107,2026-05-06T23:34:29Z
nba,h2h,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,BetOnline.ag,Los Angeles Lakers,Oklahoma City Thunder,,,574,-825,2026-05-06T23:33:53Z
nba,spreads,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,BetOnline.ag,Los Angeles Lakers,Oklahoma City Thunder,15.5,-15.5,-110,-110,2026-05-06T23:33:53Z
nba,totals,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,BetOnline.ag,Over,Under,210.0,210.0,-110,-110,2026-05-06T23:33:53Z
nba,h2h,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,MyBookie.ag,Los Angeles Lakers,Oklahoma City Thunder,,,590,-1000,2026-05-06T23:32:43Z
nba,spreads,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,MyBookie.ag,Los Angeles Lakers,Oklahoma City Thunder,15.5,-15.5,-110,-110,2026-05-06T23:32:43Z
nba,totals,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,MyBookie.ag,Over,Under,209.5,209.5,-110,-110,2026-05-06T23:32:43Z
nba,h2h,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,Bovada,Los Angeles Lakers,Oklahoma City Thunder,,,600,-950,2026-05-06T23:32:06Z
nba,spreads,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,Bovada,Los Angeles Lakers,Oklahoma City Thunder,15.5,-15.5,-110,-110,2026-05-06T23:32:06Z
nba,totals,a306b74e13d87d2f8d64b1e01c2cf958,Los Angeles Lakers at Oklahoma City Thunder,Bovada,Over,Under,210.0,210.0,-110,-110,2026-05-06T23:32:06Z
mlb,h2h,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,FanDuel,Athletics,Philadelphia Phillies,,,-115,-108,2026-05-06T23:34:18Z
mlb,spreads,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,FanDuel,Athletics,Philadelphia Phillies,-1.5,1.5,168,-230,2026-05-06T23:34:18Z
mlb,totals,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,FanDuel,Over,Under,5.5,5.5,-140,106,2026-05-06T23:34:18Z
mlb,h2h,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,MyBookie.ag,Athletics,Philadelphia Phillies,,,-154,120,2026-05-06T23:33:05Z
mlb,spreads,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,MyBookie.ag,Athletics,Philadelphia Phillies,-1.5,1.5,120,-167,2026-05-06T23:33:05Z
mlb,totals,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,MyBookie.ag,Over,Under,6.5,6.5,-118,-125,2026-05-06T23:33:05Z
mlb,h2h,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,DraftKings,Athletics,Philadelphia Phillies,,,-122,-106,2026-05-06T23:34:18Z
mlb,spreads,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,DraftKings,Athletics,Philadelphia Phillies,-1.5,1.5,161,-215,2026-05-06T23:34:18Z
